GENDER,CGPA,ACTIVE BACKLOG,COMMUNICATION SKILL,CODING SKILL,APTITUDE SKILLS,APPLIED PROFILE,PROJECT,INTERNSHIP,PLACED
Male,9,No,7,3,7,DATA SCIENTIST/ANALYST,Yes,No,No
Female,8.68,No,7,5,8,CORE,Yes,No,Yes
Male,8.34,No,7,5,7,"DATA SCIENTIST/ANALYST, CORE",Yes,Yes,No
Male,8.79,No,5,4,6,CORE,No,No,Yes
Male,7.58,No,9,9,10,"SDE, DATA SCIENTIST/ANALYST",Yes,No,Yes
Male,8.5,Yes,10,10,10,DATA SCIENTIST/ANALYST,Yes,Yes,Yes
Male,8.5,No,5,5,8,CORE,Yes,Yes,No
Male,8.1,No,9,8,8,SDE,Yes,No,Yes
Male,8.77,No,7,5,8,CORE,Yes,Yes,Yes
Male,7.58,No,8,8,9,"SDE, DATA SCIENTIST/ANALYST",Yes,No,No
Male,8.64,No,7,5,6,"DATA SCIENTIST/ANALYST, CORE",No,No,No
Male,9.33,No,7,7,6,"DATA SCIENTIST/ANALYST, CORE",Yes,No,No
Male,9.4,No,8,9,8,"DATA SCIENTIST/ANALYST, CORE",Yes,No,No
Male,8.12,No,9,9,9,"SDE, DATA SCIENTIST/ANALYST, MANAGEMENT, CORE",Yes,Yes,Yes
Male,8.5,No,7,4,6,"DATA SCIENTIST/ANALYST, MANAGEMENT",Yes,Yes,No
Male,8.38,No,7,3,6,SDE,Yes,No,Yes
Male,6.87,No,7,5,7,CORE,Yes,No,No
Male,9.68,No,7,3,4,CORE,No,No,Yes
Male,8.6,No,8,7,5,SDE,No,No,Yes
Male,8.66,No,8,8,7,"DATA SCIENTIST/ANALYST, CORE",Yes,No,No
Male,7.54,No,3,2,7,CORE,Yes,Yes,Yes
Male,8.6,No,9,8,8,CORE,Yes,No,Yes
Female,9,No,6,8,8,"DATA SCIENTIST/ANALYST, CORE",Yes,No,Yes
Male,8.5,No,8,5,9,CORE,Yes,Yes,No
Male,8.36,No,1,4,4,SDE,No,No,No
Male,7.3,No,7,5,7,DATA SCIENTIST/ANALYST,Yes,No,No
Male,8.55,No,8,6,8,CORE,Yes,No,Yes
